card_name,상세_혜택,혜택_키워드,카드혜택_분류
신한카드 Mr.Life,공과금: 월납요금(공과금) 10% 할인서비스 ,공과금,기타
신한카드 Mr.Life, 편의점: 편의점 10% 할인 ,편의점,쇼핑
신한카드 Mr.Life, 병원/약국: 병원/약국업종 10% 할인 ,병원/약국,의료/병원
신한카드 Mr.Life, 생활: 세탁소 업종 10% 할인 ,생활,뷰티/생활서비스
신한카드 Mr.Life, 온라인쇼핑: 온라인 쇼핑 10% 할인 ,온라인쇼핑,쇼핑
신한카드 Mr.Life, 택시: 택시 10% 할인 ,택시,기타
신한카드 Mr.Life, 푸드: 식음료 10% 할인 ,푸드,외식
신한카드 Mr.Life, 대형마트: 3대 마트 10% 할인 ,대형마트,쇼핑
신한카드 Mr.Life, 주유소: 4대 정유사 리터당 60원 할인 ,주유소,주유/차량정비
신한카드 Mr.Life, 온라인쇼핑: 인테이크몰 20% 할인 ,온라인쇼핑,쇼핑
삼성카드 taptap O, 대중교통: 대중교통·택시 10% 결제일할인 ,대중교통,기타
삼성카드 taptap O, 통신: 이동통신요금 10% 결제일할인 ,통신,기타
삼성카드 taptap O," 영화: CGV 및 롯데시네마 5,000원 결제일할인 ",영화,문화/여가/숙박
삼성카드 taptap O, 해외: 해외 1.3% 적립 ,해외,기타
KB국민 My WE:SH 카드,간편결제: [나한테 진심 서비스] KB Pay 10% 할인 ,간편결제,기타
KB국민 My WE:SH 카드," 푸드: [나한테 진심 서비스] 음식점, 편의점 10% 할인 ",푸드,외식
KB국민 My WE:SH 카드, 통신: [나한테 진심 서비스] 이동통신요금 10% 할인 ,통신,기타
KB국민 My WE:SH 카드, 디지털구독: [나한테 진심 서비스] OTT 30% 할인 ,디지털구독,문화/여가/숙박
KB국민 My WE:SH 카드, 기타: WE:SH 서비스 ,기타,기타
삼성 iD SELECT ALL 카드, 할인: [SELECT 1] 국내 가맹점 0.7% 할인 ,할인,기타
삼성 iD SELECT ALL 카드, 할인: [SELECT 1] 아파트 관리비/통신 10% 할인 ,할인,기타
삼성 iD SELECT ALL 카드, 할인: [SELECT 1] 교육 10% 할인 ,할인,기타
삼성 iD SELECT ALL 카드, 할인: [SELECT 2] 온라인쇼핑몰/의료/배달앱 7% 할인 ,할인,기타
삼성 iD SELECT ALL 카드, 할인: [SELECT 2] 음식점/편의점/할인점/주유 7% 할인 ,할인,기타
삼성 iD SELECT ALL 카드, 생활: [기본] 생활 편의 영역 5% 할인 ,생활,뷰티/생활서비스
삼성 iD SELECT ALL 카드, 디지털구독: [기본] 디지털콘텐츠 멤버십 50% 할인 ,디지털구독,문화/여가/숙박
삼성 iD SELECT ALL 카드, 해외: [기본] 해외 2% 할인 ,해외,기타
삼성카드 & MILEAGE PLATINUM (스카이패스),"대한항공: 모든 가맹점 이용금액 1,000원당 1마일리지 기본적립 ",대한항공,문화/여가/숙박
삼성카드 & MILEAGE PLATINUM (스카이패스)," 백화점: (특별적립) 국내형: 백화점 이용금액 1,000원당 (스카이패스) 1 마일리지 추가 적립 ",백화점,쇼핑
